V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	party_id	V161069_clean	V161072_clean	V161075_clean	V161078_clean	V161098_clean	V161101_clean	V161104_clean	V161106_clean
65	300150	47.0	1.0	1	0.0		0.0								hes a bad person and just do not see him as being presidential	not the president type					0.0			hes a bad person and just do not see him as being presidential	not the president type				
66	300151	68.0	1.0	2	2.0		0.0						i have to admit the first thing is we need a woman in the presidency\\ i think that she has been very residelent as a washington dc inner circle person,  i think she has handled the mud slinging like a ladyo and still held her ground\\	oridinarrly i would say age, but she is [REDACTED DETAILS] and I would not want to be presidenet, but i feel as though she is prepared for this i almost feel like she is in the catagory that someone has to do lthis, people know her name and she has done a  lot for foreign policy, our house has not been bombed by a nuclear explosion yet\\		his name; his notarity, his treatment of women, his inability to carry on a conversation without condemning the other person for an opinion and his terrible just the way he how low he goes in his descrioption of anyone he does not like in slang, he sounds like he is not very well brought up,he has gold chairs and gold everything or colored everything and he displays this as if it is a good thing instead of - that is more like a king, he wants to be king, and that is what his politics seem like to me, the heck with dictator he wants to be king\\	i fel lthe democarats ar more compassionate, a line in the sign, they go too far in their compassion,but it seems like the programs that they begn have good intentions,-almost always and do help a lot of people\\	i think there are fanatics in the demo party, that go too far in their hate for government, i feel like they , i realize that they do waste a lot of my tax dollars\\	i think the rep party has too many old people in it, but the young replicians seems to want to cooperate, when the older repulbicans are out of office, the party will improve, if they are in office 20 years or more\\	i don;t like their selfishness, their lack of compassion, for those who are not like them, i feel they are stingy andnot tolerant\\	1.0	i have to admit the first thing is we need a woman in the presidency.  .   i think that she has been very residelent as a washington dc inner circle person,  i think she has handled the mud slinging like a ladyo and still held her ground.  .  	oridinarrly i would say age, but she is [redacted details] and i would not want to be presidenet, but i feel as though she is prepared for this i almost feel like she is in the catagory that someone has to do lthis, people know her name and she has done a  lot for foreign policy, our house has not been bombed by a nuclear explosion yet.  .  		his name; his notarity, his treatment of women, his inability to carry on a conversation without condemning the other person for an opinion and his terrible just the way he how low he goes in his descrioption of anyone he does not like in slang, he sounds like he is not very well brought up,he has gold chairs and gold everything or colored everything and he displays this as if it is a good thing instead of - that is more like a king, he wants to be king, and that is what his politics seem like to me, the heck with dictator he wants to be king.  .  	i fel lthe democarats ar more compassionate, a line in the sign, they go too far in their compassion,but it seems like the programs that they begn have good intentions,-almost always and do help a lot of people.  .  	i think there are fanatics in the demo party, that go too far in their hate for government, i feel like they , i realize that they do waste a lot of my tax dollars.  .  	i think the rep party has too many old people in it, but the young replicians seems to want to cooperate, when the older repulbicans are out of office, the party will improve, if they are in office 20 years or more.  .  	i don;t like their selfishness, their lack of compassion, for those who are not like them, i feel they are stingy andnot tolerant.  .  
67	300152	57.0	0.0	3	0.0	3.0	0.5	4.0	7.0	6.5	4.5	5.0	her experience her passion and her dedication for the last 30 years			his racist views//his lack of professionalism//his masaginist views/	i like their inclusiveness//i like their support of the labor unions and support of minimum wage	they also could work across the isl;e		there unwillingness to work across the isle//there unwillingness to confirm a supreme court appointee//i don't like their stance on the gay community//	0.0	her experience her passion and her dedication for the last 30 years			his racist views.  his lack of professionalism.  his masaginist views/	i like their inclusiveness.  i like their support of the labor unions and support of minimum wage	they also could work across the isl;e		there unwillingness to work across the isle.  there unwillingness to confirm a supreme court appointee.  i don't like their stance on the gay community.  
68	300153	27.0	1.0	1	4.0	0.0	0.0	6.0	4.5	7.0	2.0	4.0		just don't like her//	straight forward//blunt//	blunt about war and how he wants that//					1.0		just don't like her.  	straight forward.  blunt.  	blunt about war and how he wants that.  				
69	300154	32.0	1.0	1	4.0	2.0	0.0	4.0	5.5	7.0	5.5	5.0	amkoing America feel like a team and not seperating us//	//abortions issues, that fact that she is for ab ortrion		//the feeling that he wouldn't mind seperating us b y race and social class	//seems like they are trying to bring America to a more upper class but heartlessly	makes me feel like they get rid  welfare, and SNAP that single parents need to survive	//makes me feel like no matter what class wwe are a whole as a country		1.0	amkoing america feel like a team and not seperating us.  	.  abortions issues, that fact that she is for ab ortrion		.  the feeling that he wouldn't mind seperating us b y race and social class	.  seems like they are trying to bring america to a more upper class but heartlessly	makes me feel like they get rid  welfare, and snap that single parents need to survive	.  makes me feel like no matter what class wwe are a whole as a country	
70	300155	45.0	0.0	2	0.0	3.0	0.0	4.5	4.5	4.5	2.5	5.0	She is not Donald Trump//She has got a lot of experience.	She is a little hawkish.//		He ran an emotional campaign rather than a planned campaign. He divides people rater that brings them togather. His business record is atrocious. He is a con man.	There position on global warming and renewable energy.//Their financial policies.	Gun Control//	Their stance on guns//	Their prolife, climate change issues.//Economic policy	0.0	she is not donald trump.  she has got a lot of experience. 	she is a little hawkish. .  		he ran an emotional campaign rather than a planned campaign.  he divides people rater that brings them togather.  his business record is atrocious.  he is a con man. 	there position on global warming and renewable energy. .  their financial policies. 	gun control.  	their stance on guns.  	their prolife, climate change issues. .  economic policy
71	300161	50.0	1.0	1	1.0	1.0	0.0	3.5	5.0	5.5	3.0	5.0	HER EXPERIENCE//WELL, ONE IS THE EXPERIENCE AS A FIRST LADY//THE OTHER ONE IS THAT SHE HAS THE SUPPORT OF HER HUSBAND THAT HAS ALREADY BEEN PRESIDENT //			RACISM, PROMOTES RACISM//HE HAS A LOT OF NEGATIVES THINGS// HE SPEAKS AGAINST LATINOS, I'M LATINA//	THEY FOCUS MORE IN HELPING THE MINORITY //LP	THERE IS NOT MUCH SUPPORT FOR THE MINORITY IS MORE FOR THE PEOPLE WITH HIGH INCOME.//			0.0	her experience.  well, one is the experience as a first lady.  the other one is that she has the support of her husband that has already been president .  			racism, promotes racism.  he has a lot of negatives things.   he speaks against latinos, i'm latina.  	they focus more in helping the minority .  lp	there is not much support for the minority is more for the people with high income. .  		
72	300165	68.0	1.0	3	0.0	2.0	0.0	3.0	6.5	7.0	3.0	5.0	She is the most qualified.  She has a platform.			He doesn't know what he is talking about.  He has no political experience and he has no platform & he talks off the top of his head.	I like the income seems to better under the Democratic party. I think their views are more liberal.			The economy always seems to be worse under the Republicans--people don't seem to have jobs.  It seems we always owe a big debt under the Republicans.	0.0	she is the most qualified.   she has a platform. 			he doesn't know what he is talking about.   he has no political experience and he has no platform & he talks off the top of his head. 	i like the income seems to better under the democratic party.  i think their views are more liberal. 			the economy always seems to be worse under the republicans--people don't seem to have jobs.   it seems we always owe a big debt under the republicans. 
73	300168	60.0	0.0	2	0.0	3.0	0.0	3.5	5.5	4.5	2.5	6.0	not one thing particular//I think she is better everything bettr communicator//even tempered good communicator and she knows politics//			he's existence//he's just a brat// he's a bully makes things up alot of fabrications//	I like they are more for the labor and people//I think they look at situations more realistically in ways that concern most Americans//			they like hold tthe country hostage to get their way//they're extremely mixed up and I don't believe there is a true republican party//	0.0	not one thing particular.  i think she is better everything bettr communicator.  even tempered good communicator and she knows politics.  			he's existence.  he's just a brat.   he's a bully makes things up alot of fabrications.  	i like they are more for the labor and people.  i think they look at situations more realistically in ways that concern most americans.  			they like hold tthe country hostage to get their way.  they're extremely mixed up and i don't believe there is a true republican party.  
74	300169	36.0	1.0	3	2.0	2.0	0.5	5.5	6.5	5.0	2.0	6.0	her experience//	her changing her mind on things, not telling the whole truth//		Everything, I dont like what he represents or stands for, I dont think hes qualified//				I dont like that they are so conservative//	1.0	her experience.  	her changing her mind on things, not telling the whole truth.  		everything, i dont like what he represents or stands for, i dont think hes qualified.  				i dont like that they are so conservative.  
