V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	party_id	V161069_clean	V161072_clean	V161075_clean	V161078_clean	V161098_clean	V161101_clean	V161104_clean	V161106_clean
1	300001	29.0	0.0	1	6.0	2.0	0.0	4.5	4.0	6.0	3.5	5.5		everything	truth//his caring for the country			i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not	more straightforward and for the people		2.0		everything	truth.  his caring for the country			i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not	more straightforward and for the people	
2	300002	26.0	0.0	3	5.0	3.0	0.0	4.0	4.0	4.0	4.5	6.5		seem corptupt anti gun anti 2nd amen	pro 2nd amendement//	erassional//			pro 2nd ament small gov oppose gov envolement//		2.0		seem corptupt anti gun anti 2nd amen	pro 2nd amendement.  	erassional.  			pro 2nd ament small gov oppose gov envolement.  	
3	300003	23.0	0.0	1	2.0	1.0	0.0	6.0	3.0	5.5	4.0	4.5									1.0								
4	300004	58.0	0.0	1	4.0	2.0	0.0	5.0	6.0	6.0	2.0	4.0		whole personal//no	he says what he thinks//I believe he will do what he says//he is running against Hilary//	arganize		their stand on health care//pro life//taxxes//and the economy//they cover up or try to cover up a lot//	their stand on health care issue//pro life issues//tax issues//military//	lack of unity//	1.0		whole personal.  no	he says what he thinks.  i believe he will do what he says.  he is running against hilary.  	arganize		their stand on health care.  pro life.  taxxes.  and the economy.  they cover up or try to cover up a lot.  	their stand on health care issue.  pro life issues.  tax issues.  military.  	lack of unity.  
5	300006	38.0	1.0	1	2.0	1.0	0.0	3.0	5.5	6.0	2.5	5.5		Im not really strong on their policies and that but it's a worry either way if either one of them become the president//		dont feel he has political experience//	they tend to try to work for the poor people//		usually go with morals and try to get people to work more which I agree with that//		1.0		im not really strong on their policies and that but it's a worry either way if either one of them become the president.  		dont feel he has political experience.  	they tend to try to work for the poor people.  		usually go with morals and try to get people to work more which i agree with that.  	
6	300007	60.0	0.0	3	4.0	3.0	0.0	3.5	3.5	6.0	2.0	3.0			I would not vote for Hiliary it would take a generation to undone what she will do.  I like the fact that he is not a politician dont trust any of them//	inexoerience in politics, and I dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him//		they have moved too far left and turned into more socialist than democratic...lot of entitlement with redistrubtion of wealth to pay for it//in general dont like the policies (we dont have the $$) to do the programs//	hard to come up//i have a problem///what they say and what they do are not the same.  like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there//	they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate//	1.0			i would not vote for hiliary it would take a generation to undone what she will do.   i like the fact that he is not a politician dont trust any of them.  	inexoerience in politics, and i dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him.  		they have moved too far left and turned into more socialist than democratic. . . lot of entitlement with redistrubtion of wealth to pay for it.  in general dont like the policies (we dont have the $$) to do the programs.  	hard to come up.  i have a problem.  /what they say and what they do are not the same.   like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there.  	they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate.  
7	300008	58.0	0.0	1	0.0	1.0	0.0	6.0	5.0	7.0	4.0	5.5				arrogrance	plan for minorities sound more favorable to me/				0.0				arrogrance	plan for minorities sound more favorable to me/			
8	300012	56.0	1.0	1	3.0	2.0	0.5	5.5	6.5	6.0	1.0	6.0		I've been saying after President Clinton went thru all the issues with impeachment, the affairs, all that I saw in her she stayed with him for her own political gain and power.//Her judgement's awful. When you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job. And he got killed of course with 3 others.//All the wheeling and dealing she does. There's definite pay for play.//She panders for votes. Tells people what they want to hear and does nothing for them ever.//	There are many things. Mainly I am aligned with him on all the positions of the issues. Meaning borders, closing the borders, building the walls, legal immigration nit illegal. lower taxes, helptong the vets, building s stromng military, fair trade, and for years now I have been saying we have to stop countries from leaving the country. it's going to kill us, not literally. The economy. At least make it fair.//I like that he is not a typical politician. We have enough of those. Let's try something different.//He has a proven track record in busibess and success.			The dishonesty. I just feel that they are in it for themselves, they're own gain. It's just for their own ain. They seem very elitist. It's almost like what can I get out of this, whatever they're doing. catastrophes with foreign policy. Their position policy on open borders is horrible.//	I feel strongly as they do on the 2nd amendent to keep our constitution intact.//As I've gotten wiser I share the conservative values as I feel that's our best chance of preserving everything good in our country and what it's built on.//	I don't believe they stick together, they don't have each other's backs.//	1.0		i've been saying after president clinton went thru all the issues with impeachment, the affairs, all that i saw in her she stayed with him for her own political gain and power. .  her judgement's awful.  when you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job.  and he got killed of course with 3 others. .  all the wheeling and dealing she does.  there's definite pay for play. .  she panders for votes.  tells people what they want to hear and does nothing for them ever. .  	there are many things.  mainly i am aligned with him on all the positions of the issues.  meaning borders, closing the borders, building the walls, legal immigration nit illegal.  lower taxes, helptong the vets, building s stromng military, fair trade, and for years now i have been saying we have to stop countries from leaving the country.  it's going to kill us, not literally.  the economy.  at least make it fair. .  i like that he is not a typical politician.  we have enough of those.  let's try something different. .  he has a proven track record in busibess and success. 			the dishonesty.  i just feel that they are in it for themselves, they're own gain.  it's just for their own ain.  they seem very elitist.  it's almost like what can i get out of this, whatever they're doing.  catastrophes with foreign policy.  their position policy on open borders is horrible. .  	i feel strongly as they do on the 2nd amendent to keep our constitution intact. .  as i've gotten wiser i share the conservative values as i feel that's our best chance of preserving everything good in our country and what it's built on. .  	i don't believe they stick together, they don't have each other's backs. .  
9	300018	45.0	0.0	1	4.0	2.0	0.0	7.0	5.5	6.0	2.5	5.0		She's a liar.  She's a cheat.  She did not show support in Benghazi that I think she should have.  I mean, those guys asked for help and she totally disregarded their request for help//Her stance at abortions being okay at 36 months is total BS.  Babies are born at 36 months.  I mean, Trump had the 'rip 'em from the wound line' which I don't think he should have said it that way but it's the truth//It's murder//This email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal//With this new Weiner's wife, her top aide, Huma something, with her now coming into question and Hillary is still playing it off as not being a big deal//She's saying check anyone's email.  It's okay.  They'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal//The accusations, the things she's saying about Trump and his persona	I like that he is a straight shooter.  He tells it like it is and he's not a politician//I believe in a lot of his ideals, as well.  Of course there's a lot that I don't believe in//I really don't like the other side so he's the lesser of two evils//	He tends to not have a filter and flies off at the mouth from time to time, which I know I also said was a good thing....but it's a detriment.  He's got some pretty bad history from a personal standpoint//I just know his business practices..not ever paying income tax, which I guess, you know, he's smart enough to know the tax code and get away from it..  But, at the same time, I have to pay taxes every year and to not pay taxes and control the government seems wrong//		The Affordable Care Act			1.0		she's a liar.   she's a cheat.   she did not show support in benghazi that i think she should have.   i mean, those guys asked for help and she totally disregarded their request for help.  her stance at abortions being okay at 36 months is total bs.   babies are born at 36 months.   i mean, trump had the 'rip 'em from the wound line' which i don't think he should have said it that way but it's the truth.  it's murder.  this email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal.  with this new weiner's wife, her top aide, huma something, with her now coming into question and hillary is still playing it off as not being a big deal.  she's saying check anyone's email.   it's okay.   they'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal.  the accusations, the things she's saying about trump and his persona	i like that he is a straight shooter.   he tells it like it is and he's not a politician.  i believe in a lot of his ideals, as well.   of course there's a lot that i don't believe in.  i really don't like the other side so he's the lesser of two evils.  	he tends to not have a filter and flies off at the mouth from time to time, which i know i also said was a good thing. . . . but it's a detriment.   he's got some pretty bad history from a personal standpoint.  i just know his business practices. . not ever paying income tax, which i guess, you know, he's smart enough to know the tax code and get away from it. .   but, at the same time, i have to pay taxes every year and to not pay taxes and control the government seems wrong.  		the affordable care act		
10	300020	30.0	1.0	2	2.0	2.0	0.5	4.0	5.5	4.0	4.5	5.0									1.0								
11	300021	40.0	1.0	1	4.0		0.0							a lot of things i do not agree with nothing in particular							1.0		a lot of things i do not agree with nothing in particular						
12	300023	86.0	1.0	2	2.0		0.0						Very smart and educated.  She has always been in political arenas.  I just think she is well qualified.//			He is just so conceited and thinks he is so powerful and he knows little about politics and governemnt.//	They are better than the Republicans.//			They have Donald rump as their candidate.//	1.0	very smart and educated.   she has always been in political arenas.   i just think she is well qualified. .  			he is just so conceited and thinks he is so powerful and he knows little about politics and governemnt. .  	they are better than the republicans. .  			they have donald rump as their candidate. .  
13	300026	30.0	0.0	3	4.0	3.0	0.5	4.0	5.5	5.5	2.5	5.5	Shes not Donald Trump//democrative party traditionally has beenmore open programs (economic distribution)//	she's not trustworthy//has lied under oath//	because he's not hillary clinton//traditionally speaki Republicans are ore fisscally conservative//	view on immiration, hard line towards Muslims in general, lack of experience in office, being a frea monger//	the opposite of what I just said - //	lot of backers are multi national corporations and may not have the interests of the Americcan people//	fiscally responsible. for the most part they believe in perosnal responsiblility//	less likely to look favorably toward  social injustces//	1.0	shes not donald trump.  democrative party traditionally has beenmore open programs (economic distribution).  	she's not trustworthy.  has lied under oath.  	because he's not hillary clinton.  traditionally speaki republicans are ore fisscally conservative.  	view on immiration, hard line towards muslims in general, lack of experience in office, being a frea monger.  	the opposite of what i just said - .  	lot of backers are multi national corporations and may not have the interests of the americcan people.  	fiscally responsible.  for the most part they believe in perosnal responsiblility.  	less likely to look favorably toward  social injustces.  
14	300030	67.0	0.0	2	1.0	2.0	0.0	5.0	3.5	6.0	5.5	5.5		She's a crook//Her husband's a crook and draft dodger	He's not politically correct// He says what he thinks be it right or wrong sometimes//He's trying to run the plotical establishement out of Dc, which we need//			they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore//	They want to help minorities, talking about doing more and the economy// defense, dealiing with our defense, taxes and better health care//	Too many rich republicans that dont care about the average guy, the middle class//	0.0		she's a crook.  her husband's a crook and draft dodger	he's not politically correct.   he says what he thinks be it right or wrong sometimes.  he's trying to run the plotical establishement out of dc, which we need.  			they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore.  	they want to help minorities, talking about doing more and the economy.   defense, dealiing with our defense, taxes and better health care.  	too many rich republicans that dont care about the average guy, the middle class.  
15	300034	62.0	1.0	3	0.0	3.0	0.5	7.0	6.5	4.5	3.5	6.5	Her policies. Her experience and she is NOT Donald Trump.//			Where do I start ? I think he is unknowledgeable about foriegn policy. He does not tell the truth. His personality is not condusive to being a President. //	I think the party is socially responsible. They strive to include all people. // My family was always a democratic family and I just always thinkd they're better	They don't take into account that they're are republicans that are faithful.	I like their financial conservatism.//	They aren't as responsive to pverty and racial issues.//	0.0	her policies.  her experience and she is not donald trump. .  			where do i start ? i think he is unknowledgeable about foriegn policy.  he does not tell the truth.  his personality is not condusive to being a president.  .  	i think the party is socially responsible.  they strive to include all people.  .   my family was always a democratic family and i just always thinkd they're better	they don't take into account that they're are republicans that are faithful. 	i like their financial conservatism. .  	they aren't as responsive to pverty and racial issues. .  
16	300038	51.0	0.0	1	0.0	1.0	0.0	1.5	6.0	5.5	2.0	3.5	Democrat	I kind of dont trust her			It helps out poor people			budget cuts	0.0	democrat	i kind of dont trust her			it helps out poor people			budget cuts
17	300039	46.0	0.0	3	0.0	3.0	0.5	1.5	4.0	6.5	3.5	4.5	She has experience, she is rational...the alternative is not//I think she'd be a good president//I mean.. I have a [REDACTED FAMILY DETAILS] so I think having a woman president would be a positive role model			I guess...he is untrustworthy, he incites and hatred and violence//he is unfit//He is unknowledgable of the job	In general I think they are more thoughtful... definitely on the side of disadvantaged people//definitely on the side of human rights for minorities, gay people and human rights//The environment.. their positions on the environment, on science//I think in general they're more thoughtful in their approach to foreing policy or really (any) most issues	Sometimes they are too wishy-washy//Kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively	In some cases i think there is overregulation and in some issues in foreign policy and tax reform  - I would agree with some of their positions	Their support of guns//Their religiosity//In general they're attacting the safety net for lower middle class people//They are against gay marriage and gay rights//Their tendency toward promoting war as sort of a first response	0.0	she has experience, she is rational. . . the alternative is not.  i think she'd be a good president.  i mean. .  i have a [redacted family details] so i think having a woman president would be a positive role model			i guess. . . he is untrustworthy, he incites and hatred and violence.  he is unfit.  he is unknowledgable of the job	in general i think they are more thoughtful. . .  definitely on the side of disadvantaged people.  definitely on the side of human rights for minorities, gay people and human rights.  the environment. .  their positions on the environment, on science.  i think in general they're more thoughtful in their approach to foreing policy or really (any) most issues	sometimes they are too wishy-washy.  kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively	in some cases i think there is overregulation and in some issues in foreign policy and tax reform  - i would agree with some of their positions	their support of guns.  their religiosity.  in general they're attacting the safety net for lower middle class people.  they are against gay marriage and gay rights.  their tendency toward promoting war as sort of a first response
18	300040	70.0	0.0	3	6.0	2.0	0.0	4.0	4.5	6.0	3.5	5.5		I question her veracity in history/	His forthrightness, his ability to tell what really should be going on which people don't like/Probably another added thing for him and it is important is that he has a veyr good business head, which people don't like		Supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/	Don't like their economic poilicies/	conservativeness/like their economic policies/	They're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/	2.0		i question her veracity in history/	his forthrightness, his ability to tell what really should be going on which people don't like/probably another added thing for him and it is important is that he has a veyr good business head, which people don't like		supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/	don't like their economic poilicies/	conservativeness/like their economic policies/	they're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/
19	300041	30.0	1.0	3	0.0	2.0	0.5	3.5	6.0	5.5	2.0	5.5	stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy			the way he speaks aboit woman immigrants has no concept of foreighn policy	handling socisal issues/education/immigration /gun issues/foreighn policy		with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy	social issues relatiing to women/eduvation/healthcare	0.0	stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy			the way he speaks aboit woman immigrants has no concept of foreighn policy	handling socisal issues/education/immigration /gun issues/foreighn policy		with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy	social issues relatiing to women/eduvation/healthcare
20	300042	67.0	1.0	2	5.0	1.0	0.0	6.0	7.0	6.5	2.5	6.0		Benghazi//		I don't think he knows enough about national defence and i don't think e's very educated in the military		Basically I feel they are in it for the money//	They are for the people and usually handle the military better//	Their candidate for president	2.0		benghazi.  		i don't think he knows enough about national defence and i don't think e's very educated in the military		basically i feel they are in it for the money.  	they are for the people and usually handle the military better.  	their candidate for president
21	300045	66.0	1.0	1	5.0	2.0	0.0	3.5	6.0	6.5	3.0	3.5		everything	// likes his out looks	trash talk, should keep his mouth shut because it hurts his campaign//		dont like the ways some of them feel with our constitutional rights	like conservative views, like 2nd amendment views and strong feelings about abortion issues		2.0		everything	.   likes his out looks	trash talk, should keep his mouth shut because it hurts his campaign.  		dont like the ways some of them feel with our constitutional rights	like conservative views, like 2nd amendment views and strong feelings about abortion issues	
22	300046	32.0	1.0	2	5.0	2.0	0.5	6.0	4.5	6.0	3.0	5.0		think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/	Like his ideas and principles/a strong business and how to run things/immigration/foreign and military/		main idea looking out for people that are not in great situation/	they go overboard in trying to help people that's a strain on our economy/	policies in general the way they would run the country they way they look at economy would be the biggest reason/		2.0		think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/	like his ideas and principles/a strong business and how to run things/immigration/foreign and military/		main idea looking out for people that are not in great situation/	they go overboard in trying to help people that's a strain on our economy/	policies in general the way they would run the country they way they look at economy would be the biggest reason/	
23	300047	56.0	1.0	2	4.0	2.0	0.0	6.0	5.0	5.0	4.0	4.5	Her family values.''			Everything about him.//				The nominee.//	1.0	her family values. ''			everything about him. .  				the nominee. .  
24	300049	65.0	1.0	3	4.0	1.0	0.0	3.5	6.0	6.0	2.5	4.5		all the lies and power she has is to much and untruths they have gotten by with	change in the government due to the past there needs to be changes	he's rude and crude					1.0		all the lies and power she has is to much and untruths they have gotten by with	change in the government due to the past there needs to be changes	he's rude and crude				
25	300050	61.0	0.0	1	4.0	2.0	0.0	3.0	4.5	6.5	4.0	5.0		i don't think she's truthful and i think she's full of greed and out for herself. I don't think she's for the people she just wants votes. i don't like her standards on abortion, i don't think term should go that far. Ben Gahzy there supposed to be fundraising for Haiti and  people still living in tents. I don't see the concerns for the welfare of people the only concern is their vote//	secuing the borders and not letting refugees come. i think he will get jobs back from overseas. he's not a politician//	If another candidiate was running		their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep//	i think their values lean towards more the values and well being of the people//	they make promises they dont keep and they do what they can to get the vote to keep their jobs to stay in their playhouse//	1.0		i don't think she's truthful and i think she's full of greed and out for herself.  i don't think she's for the people she just wants votes.  i don't like her standards on abortion, i don't think term should go that far.  ben gahzy there supposed to be fundraising for haiti and  people still living in tents.  i don't see the concerns for the welfare of people the only concern is their vote.  	secuing the borders and not letting refugees come.  i think he will get jobs back from overseas.  he's not a politician.  	if another candidiate was running		their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep.  	i think their values lean towards more the values and well being of the people.  	they make promises they dont keep and they do what they can to get the vote to keep their jobs to stay in their playhouse.  
26	300051	34.0	0.0	1	4.0	0.0	0.0	4.5	5.0	6.5	3.0	4.5		Pure ignorance.//How I feel she was President for 8 years already in theory and she had no bearing on what he did. Nothing good came out of it.//	I believe we should have someone else in office that is a working man who stands up for the working person in the country. He wants to try to better the economy and bring some work back to us.//						1.0		pure ignorance. .  how i feel she was president for 8 years already in theory and she had no bearing on what he did.  nothing good came out of it. .  	i believe we should have someone else in office that is a working man who stands up for the working person in the country.  he wants to try to better the economy and bring some work back to us. .  					
27	300053	68.0		3	3.0	1.0	0.0	5.5	6.5	6.0	1.5	6.0	he seems like she is more carying and better listener than the other candidate//	I dont trust her because of the emails, mainly because of the emails that have come up and shed had access to//	he is advocating chang which is needed in many areas//	someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration//uhm and lastly the waauy he speaks uhm... and the way he speaks and not being a good listener//		trust i dont trust a lot of the leader// the way the handled the war in rak, and the health in support of Obama Care//	the party is advocating chang in many areas//		1.0	he seems like she is more carying and better listener than the other candidate.  	i dont trust her because of the emails, mainly because of the emails that have come up and shed had access to.  	he is advocating chang which is needed in many areas.  	someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration.  uhm and lastly the waauy he speaks uhm. . .  and the way he speaks and not being a good listener.  		trust i dont trust a lot of the leader.   the way the handled the war in rak, and the health in support of obama care.  	the party is advocating chang in many areas.  	
28	300056	25.0	1.0	1	3.0	2.0	0.0	4.0	5.5	6.5	4.0	5.5									1.0								
29	300058	73.0	0.0	3	2.0	3.0	0.5	4.0	5.5	6.0	3.0	6.0	Experience// Her efforts during her career as First Lady, Secretary of State and Senator//			Dishonesty// His lying//Lack of experience//	Priorities not just being for big business// Progressive and positive on social issues//	Sometimes not progressive enough//		In general their wrong policies in respect to big business, in general not trustworthy//	1.0	experience.   her efforts during her career as first lady, secretary of state and senator.  			dishonesty.   his lying.  lack of experience.  	priorities not just being for big business.   progressive and positive on social issues.  	sometimes not progressive enough.  		in general their wrong policies in respect to big business, in general not trustworthy.  
30	300059	67.0	1.0	1	3.0	2.0	0.0	5.0	6.0	6.5	4.5	4.5		that she is not honest and truthful//	that he is not a politician//	his general demeanor//		so many things//just the way the country is moving//	i think just that they are trying to change things//	the person they choose for their canididate	1.0		that she is not honest and truthful.  	that he is not a politician.  	his general demeanor.  		so many things.  just the way the country is moving.  	i think just that they are trying to change things.  	the person they choose for their canididate
31	300062	35.0	1.0	3	1.0	2.0	0.0	7.0	6.5	6.0	2.0	6.5	She is experienced/	Her views on the working class/ views on sex offenders/her ethics/	His lack of experience is positive in the situation and does not play the political game/	How he interacts with people in general, too aggressive/ doesn't take accountability/	More generalized for people's welfare/	All or nothing on ideas/	Managing the budget/right to bear arms/	Too conservative	0.0	she is experienced/	her views on the working class/ views on sex offenders/her ethics/	his lack of experience is positive in the situation and does not play the political game/	how he interacts with people in general, too aggressive/ doesn't take accountability/	more generalized for people's welfare/	all or nothing on ideas/	managing the budget/right to bear arms/	too conservative
32	300064	64.0	0.0	3	6.0		0.0							the only time you can tell when she is lying is when he mouth is open, a major part in where we are at	he would be the best for the economy,			doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s		almost feel like it is a bunch of democats that they have putting the name behind them, everything that obama has wanted to do they have allowed	2.0		the only time you can tell when she is lying is when he mouth is open, a major part in where we are at	he would be the best for the economy,			doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s		almost feel like it is a bunch of democats that they have putting the name behind them, everything that obama has wanted to do they have allowed
33	300070	73.0	1.0	2	6.0	2.0	0.0	3.5	6.5	6.5	3.0	2.0		she is not trustworthy or honest//	his leadership and he is not a politician//			they become too liberal and handout to everyone, and they are not taking care of the americans at home.//	they are trying to get some conservative leaders appointed to the surperme court, bring direction back to leardership and get the economy going//		2.0		she is not trustworthy or honest.  	his leadership and he is not a politician.  			they become too liberal and handout to everyone, and they are not taking care of the americans at home. .  	they are trying to get some conservative leaders appointed to the surperme court, bring direction back to leardership and get the economy going.  	
34	300072	69.0	0.0	3	4.0	3.0	0.0	3.0	7.0	7.0	2.5	7.0		no intergrity, [REDACTED FOOD PRODUCTION COMPANY] got a tax breakk, pay for play//sold 20 percet of our land Uranian to stock pile// destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital//	the wall, controll immigration, 62 percent of immigrants receive goverment aid//honest and successful//		take care of their own, have a job for life//judges are soft on crime, give convicted felones soft punishments//	don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing//	strong defense//legal citizenship, schoolchoice//	push over for the president and and give democratic party what ever they want//	1.0		no intergrity, [redacted food production company] got a tax breakk, pay for play.  sold 20 percet of our land uranian to stock pile.   destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital.  	the wall, controll immigration, 62 percent of immigrants receive goverment aid.  honest and successful.  		take care of their own, have a job for life.  judges are soft on crime, give convicted felones soft punishments.  	don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing.  	strong defense.  legal citizenship, schoolchoice.  	push over for the president and and give democratic party what ever they want.  
35	300073	41.0	1.0	3	5.0	0.0	0.0	7.0	7.0	6.5	4.0	5.5		It's simply what I've been told about her deceitfulness//				They seem to be more greedy//	I'm more conservative, so the fact that they're more conservative//		2.0		it's simply what i've been told about her deceitfulness.  				they seem to be more greedy.  	i'm more conservative, so the fact that they're more conservative.  	
36	300082	67.0	0.0	3	1.0	2.0	0.0	3.0	4.0	3.5	3.0	4.5	good experience//not particualy	question of trustworthness		con man//	more liberal on social programs//	all politicans		split in the republican party and concerned about their physical policies with tea party	0.0	good experience.  not particualy	question of trustworthness		con man.  	more liberal on social programs.  	all politicans		split in the republican party and concerned about their physical policies with tea party
37	300085	59.0	1.0	1	2.0		0.0							Releasing the classified information, I don't trust her//I had seen her speaking about I don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when I saw it it looked fine to me so I think she is not truthful//by telling the truth is really important for all the citizens of the United States that we are voting for president//	I believe his immagration, it makes sense//the you know needing to check people who are coming into this country. They need to be checked out relly well//and also the gun control// they need to really check that out, you know, investigate it//They really need to thouroughly check and find out about how they feel about the United states of America// wondering why people go back and forth with all the terrorism now//He made some good points//	He was for building a wall but then I heard he was bringing in workers from other countries, at a lower wage instead of hiring Americans// lower wage workers at his resorts//to me if you don't want illegal immegrants to come here, then why are you hiring them. He wants cheap labor. He doesn't want to pay a fair wage//	I have always thought that their ideas are better than Republican//it just seems like the Democrats are more for the people that the Republicans do. I mean the citizens of the Unites States//				1.0		releasing the classified information, i don't trust her.  i had seen her speaking about i don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when i saw it it looked fine to me so i think she is not truthful.  by telling the truth is really important for all the citizens of the united states that we are voting for president.  	i believe his immagration, it makes sense.  the you know needing to check people who are coming into this country.  they need to be checked out relly well.  and also the gun control.   they need to really check that out, you know, investigate it.  they really need to thouroughly check and find out about how they feel about the united states of america.   wondering why people go back and forth with all the terrorism now.  he made some good points.  	he was for building a wall but then i heard he was bringing in workers from other countries, at a lower wage instead of hiring americans.   lower wage workers at his resorts.  to me if you don't want illegal immegrants to come here, then why are you hiring them.  he wants cheap labor.  he doesn't want to pay a fair wage.  	i have always thought that their ideas are better than republican.  it just seems like the democrats are more for the people that the republicans do.  i mean the citizens of the unites states.  			
38	300092	54.0	0.0	2	6.0	3.0	0.0	3.0	4.5	5.0	2.0	3.0		seems that everyone who snitches on her dies, we have had one clinton already dont need another,	he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt	he needs to have someone write his speeche		healthcare, foreign policies,	they are wanting to get everything back on track have a balanced budget		2.0		seems that everyone who snitches on her dies, we have had one clinton already dont need another,	he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt	he needs to have someone write his speeche		healthcare, foreign policies,	they are wanting to get everything back on track have a balanced budget	
39	300093	48.0	0.0	1	2.0	3.0	0.0	2.5	5.0	5.0	4.5	4.0	I would love to see a woman office. I'd like to see what she can do. Opportunities for other people.//		He seems sincere about cleaning up our country. All this immigration. I just want to see my country come back to what it was. 80% of the immigrants ownung the stores. it's not working for me.//	He needs to change is racism. He's kinda of racist. it's okay. Everybody is.//			I like Bill Clinton because he speaks his mind.//		1.0	i would love to see a woman office.  i'd like to see what she can do.  opportunities for other people. .  		he seems sincere about cleaning up our country.  all this immigration.  i just want to see my country come back to what it was.  80% of the immigrants ownung the stores.  it's not working for me. .  	he needs to change is racism.  he's kinda of racist.  it's okay.  everybody is. .  			i like bill clinton because he speaks his mind. .  	
40	300094	26.0	1.0	2	1.0	2.0	1.0	5.0	5.0	5.5	5.0	6.0	She seems to care a little more than Donald Trumpp, she has more experience//	She don't sound believeable//		He's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be//	Their Libial and diverse, they favor the middle class//	They sometime can be too libral		No diversity and they only favor the 1%//	0.0	she seems to care a little more than donald trumpp, she has more experience.  	she don't sound believeable.  		he's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be.  	their libial and diverse, they favor the middle class.  	they sometime can be too libral		no diversity and they only favor the 1%.  
41	300098			1	4.0	2.0	0.0							crook from way back she bill in [REDACTED TIME DETAILS] bank stuff//	bussimness man built mil tary up take care of vet medical ins/	they ecxplains himmself pas not much different then clitons		croupt more liberial	conservetive	not as strong as they use to be younger blood//	1.0		crook from way back she bill in [redacted time details] bank stuff.  	bussimness man built mil tary up take care of vet medical ins/	they ecxplains himmself pas not much different then clitons		croupt more liberial	conservetive	not as strong as they use to be younger blood.  
42	300099	25.0	1.0	2	6.0	2.0	0.0	4.0	5.5	6.0	1.5	5.0		i jus don like her/ i think she is a liar//	he is no a felon, //						2.0		i jus don like her/ i think she is a liar.  	he is no a felon, .  					
43	300100	46.0	1.0	3	0.0	2.0	0.0	6.5	7.0	7.0	1.0	7.0	she has knowledge\\she has knowledge about the county and about politics			he's uneducated\\hes not fully aware of how to run this country or his political views	we stick together			dislike republican party, i think everybody should be equal across the board,treated as whole	0.0	she has knowledge.  .  she has knowledge about the county and about politics			he's uneducated.  .  hes not fully aware of how to run this country or his political views	we stick together			dislike republican party, i think everybody should be equal across the board,treated as whole
