V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
1,300001,29,0,1,6,2,0,4.5,4,6,3.5,5.5,,everything,truth//his caring for the country,,,i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not,more straightforward and for the people,
2,300002,26,0,3,5,3,0,4,4,4,4.5,6.5,,seem corptupt anti gun anti 2nd amen,pro 2nd amendement//,erassional//,,,pro 2nd ament small gov oppose gov envolement//,
3,300003,23,0,1,2,1,0,6,3,5.5,4,4.5,,,,,,,,
4,300004,58,0,1,4,2,0,5,6,6,2,4,,whole personal//no,he says what he thinks//I believe he will do what he says//he is running against Hilary//,arganize,,their stand on health care//pro life//taxxes//and the economy//they cover up or try to cover up a lot//,their stand on health care issue//pro life issues//tax issues//military//,lack of unity//
5,300006,38,1,1,2,1,0,3,5.5,6,2.5,5.5,,Im not really strong on their policies and that but it's a worry either way if either one of them become the president//,,dont feel he has political experience//,they tend to try to work for the poor people//,,usually go with morals and try to get people to work more which I agree with that//,
6,300007,60,0,3,4,3,0,3.5,3.5,6,2,3,,,I would not vote for Hiliary it would take a generation to undone what she will do.  I like the fact that he is not a politician dont trust any of them//,"inexoerience in politics, and I dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him//",,they have moved too far left and turned into more socialist than democratic...lot of entitlement with redistrubtion of wealth to pay for it//in general dont like the policies (we dont have the $$) to do the programs//,hard to come up//i have a problem///what they say and what they do are not the same.  like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there//,they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate//
7,300008,58,0,1,0,1,0,6,5,7,4,5.5,,,,arrogrance,plan for minorities sound more favorable to me/,,,
8,300012,56,1,1,3,2,.5,5.5,6.5,6,1,6,,"I've been saying after President Clinton went thru all the issues with impeachment, the affairs, all that I saw in her she stayed with him for her own political gain and power.//Her judgement's awful. When you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job. And he got killed of course with 3 others.//All the wheeling and dealing she does. There's definite pay for play.//She panders for votes. Tells people what they want to hear and does nothing for them ever.//","There are many things. Mainly I am aligned with him on all the positions of the issues. Meaning borders, closing the borders, building the walls, legal immigration nit illegal. lower taxes, helptong the vets, building s stromng military, fair trade, and for years now I have been saying we have to stop countries from leaving the country. it's going to kill us, not literally. The economy. At least make it fair.//I like that he is not a typical politician. We have enough of those. Let's try something different.//He has a proven track record in busibess and success.",,,"The dishonesty. I just feel that they are in it for themselves, they're own gain. It's just for their own ain. They seem very elitist. It's almost like what can I get out of this, whatever they're doing. catastrophes with foreign policy. Their position policy on open borders is horrible.//",I feel strongly as they do on the 2nd amendent to keep our constitution intact.//As I've gotten wiser I share the conservative values as I feel that's our best chance of preserving everything good in our country and what it's built on.//,"I don't believe they stick together, they don't have each other's backs.//"
9,300018,45,0,1,4,2,0,7,5.5,6,2.5,5,,"She's a liar.  She's a cheat.  She did not show support in Benghazi that I think she should have.  I mean, those guys asked for help and she totally disregarded their request for help//Her stance at abortions being okay at 36 months is total BS.  Babies are born at 36 months.  I mean, Trump had the 'rip 'em from the wound line' which I don't think he should have said it that way but it's the truth//It's murder//This email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal//With this new Weiner's wife, her top aide, Huma something, with her now coming into question and Hillary is still playing it off as not being a big deal//She's saying check anyone's email.  It's okay.  They'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal//The accusations, the things she's saying about Trump and his persona","I like that he is a straight shooter.  He tells it like it is and he's not a politician//I believe in a lot of his ideals, as well.  Of course there's a lot that I don't believe in//I really don't like the other side so he's the lesser of two evils//","He tends to not have a filter and flies off at the mouth from time to time, which I know I also said was a good thing....but it's a detriment.  He's got some pretty bad history from a personal standpoint//I just know his business practices..not ever paying income tax, which I guess, you know, he's smart enough to know the tax code and get away from it..  But, at the same time, I have to pay taxes every year and to not pay taxes and control the government seems wrong//",,The Affordable Care Act,,
10,300020,30,1,2,2,2,.5,4,5.5,4,4.5,5,,,,,,,,
11,300021,40,1,1,4,,0,,,,,,,a lot of things i do not agree with nothing in particular,,,,,,
12,300023,86,1,2,2,,0,,,,,,Very smart and educated.  She has always been in political arenas.  I just think she is well qualified.//,,,He is just so conceited and thinks he is so powerful and he knows little about politics and governemnt.//,They are better than the Republicans.//,,,They have Donald rump as their candidate.//
13,300026,30,0,3,4,3,.5,4,5.5,5.5,2.5,5.5,Shes not Donald Trump//democrative party traditionally has beenmore open programs (economic distribution)//,she's not trustworthy//has lied under oath//,because he's not hillary clinton//traditionally speaki Republicans are ore fisscally conservative//,"view on immiration, hard line towards Muslims in general, lack of experience in office, being a frea monger//",the opposite of what I just said - //,lot of backers are multi national corporations and may not have the interests of the Americcan people//,fiscally responsible. for the most part they believe in perosnal responsiblility//,less likely to look favorably toward  social injustces//
14,300030,67,0,2,1,2,0,5,3.5,6,5.5,5.5,,She's a crook//Her husband's a crook and draft dodger,"He's not politically correct// He says what he thinks be it right or wrong sometimes//He's trying to run the plotical establishement out of Dc, which we need//",,,"they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore//","They want to help minorities, talking about doing more and the economy// defense, dealiing with our defense, taxes and better health care//","Too many rich republicans that dont care about the average guy, the middle class//"
15,300034,62,1,3,0,3,.5,7,6.5,4.5,3.5,6.5,Her policies. Her experience and she is NOT Donald Trump.//,,,Where do I start ? I think he is unknowledgeable about foriegn policy. He does not tell the truth. His personality is not condusive to being a President. //,I think the party is socially responsible. They strive to include all people. // My family was always a democratic family and I just always thinkd they're better,They don't take into account that they're are republicans that are faithful.,I like their financial conservatism.//,They aren't as responsive to pverty and racial issues.//
16,300038,51,0,1,0,1,0,1.5,6,5.5,2,3.5,Democrat,I kind of dont trust her,,,It helps out poor people,,,budget cuts
17,300039,46,0,3,0,3,.5,1.5,4,6.5,3.5,4.5,"She has experience, she is rational...the alternative is not//I think she'd be a good president//I mean.. I have a [REDACTED FAMILY DETAILS] so I think having a woman president would be a positive role model",,,"I guess...he is untrustworthy, he incites and hatred and violence//he is unfit//He is unknowledgable of the job","In general I think they are more thoughtful... definitely on the side of disadvantaged people//definitely on the side of human rights for minorities, gay people and human rights//The environment.. their positions on the environment, on science//I think in general they're more thoughtful in their approach to foreing policy or really (any) most issues",Sometimes they are too wishy-washy//Kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively,In some cases i think there is overregulation and in some issues in foreign policy and tax reform  - I would agree with some of their positions,Their support of guns//Their religiosity//In general they're attacting the safety net for lower middle class people//They are against gay marriage and gay rights//Their tendency toward promoting war as sort of a first response
18,300040,70,0,3,6,2,0,4,4.5,6,3.5,5.5,,I question her veracity in history/,"His forthrightness, his ability to tell what really should be going on which people don't like/Probably another added thing for him and it is important is that he has a veyr good business head, which people don't like",,"Supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/",Don't like their economic poilicies/,conservativeness/like their economic policies/,They're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/
19,300041,30,1,3,0,2,.5,3.5,6,5.5,2,5.5,stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy,,,the way he speaks aboit woman immigrants has no concept of foreighn policy,handling socisal issues/education/immigration /gun issues/foreighn policy,,with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy,social issues relatiing to women/eduvation/healthcare
20,300042,67,1,2,5,1,0,6,7,6.5,2.5,6,,Benghazi//,,I don't think he knows enough about national defence and i don't think e's very educated in the military,,Basically I feel they are in it for the money//,They are for the people and usually handle the military better//,Their candidate for president
21,300045,66,1,1,5,2,0,3.5,6,6.5,3,3.5,,everything,// likes his out looks,"trash talk, should keep his mouth shut because it hurts his campaign//",,dont like the ways some of them feel with our constitutional rights,"like conservative views, like 2nd amendment views and strong feelings about abortion issues",
22,300046,32,1,2,5,2,.5,6,4.5,6,3,5,,think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/,Like his ideas and principles/a strong business and how to run things/immigration/foreign and military/,,main idea looking out for people that are not in great situation/,they go overboard in trying to help people that's a strain on our economy/,policies in general the way they would run the country they way they look at economy would be the biggest reason/,
23,300047,56,1,2,4,2,0,6,5,5,4,4.5,Her family values.'',,,Everything about him.//,,,,The nominee.//
24,300049,65,1,3,4,1,0,3.5,6,6,2.5,4.5,,all the lies and power she has is to much and untruths they have gotten by with,change in the government due to the past there needs to be changes,he's rude and crude,,,,
25,300050,61,0,1,4,2,0,3,4.5,6.5,4,5,,"i don't think she's truthful and i think she's full of greed and out for herself. I don't think she's for the people she just wants votes. i don't like her standards on abortion, i don't think term should go that far. Ben Gahzy there supposed to be fundraising for Haiti and  people still living in tents. I don't see the concerns for the welfare of people the only concern is their vote//",secuing the borders and not letting refugees come. i think he will get jobs back from overseas. he's not a politician//,If another candidiate was running,,their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep//,i think their values lean towards more the values and well being of the people//,they make promises they dont keep and they do what they can to get the vote to keep their jobs to stay in their playhouse//
26,300051,34,0,1,4,0,0,4.5,5,6.5,3,4.5,,Pure ignorance.//How I feel she was President for 8 years already in theory and she had no bearing on what he did. Nothing good came out of it.//,I believe we should have someone else in office that is a working man who stands up for the working person in the country. He wants to try to better the economy and bring some work back to us.//,,,,,
27,300053,68,,3,3,1,0,5.5,6.5,6,1.5,6,he seems like she is more carying and better listener than the other candidate//,"I dont trust her because of the emails, mainly because of the emails that have come up and shed had access to//",he is advocating chang which is needed in many areas//,"someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration//uhm and lastly the waauy he speaks uhm... and the way he speaks and not being a good listener//",,"trust i dont trust a lot of the leader// the way the handled the war in rak, and the health in support of Obama Care//",the party is advocating chang in many areas//,
28,300056,25,1,1,3,2,0,4,5.5,6.5,4,5.5,,,,,,,,
29,300058,73,0,3,2,3,.5,4,5.5,6,3,6,"Experience// Her efforts during her career as First Lady, Secretary of State and Senator//",,,Dishonesty// His lying//Lack of experience//,Priorities not just being for big business// Progressive and positive on social issues//,Sometimes not progressive enough//,,"In general their wrong policies in respect to big business, in general not trustworthy//"
30,300059,67,1,1,3,2,0,5,6,6.5,4.5,4.5,,that she is not honest and truthful//,that he is not a politician//,his general demeanor//,,so many things//just the way the country is moving//,i think just that they are trying to change things//,the person they choose for their canididate
31,300062,35,1,3,1,2,0,7,6.5,6,2,6.5,She is experienced/,Her views on the working class/ views on sex offenders/her ethics/,His lack of experience is positive in the situation and does not play the political game/,"How he interacts with people in general, too aggressive/ doesn't take accountability/",More generalized for people's welfare/,All or nothing on ideas/,Managing the budget/right to bear arms/,Too conservative
32,300064,64,0,3,6,,0,,,,,,,"the only time you can tell when she is lying is when he mouth is open, a major part in where we are at","he would be the best for the economy,",,,"doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s",,"almost feel like it is a bunch of democats that they have putting the name behind them, everything that obama has wanted to do they have allowed"
33,300070,73,1,2,6,2,0,3.5,6.5,6.5,3,2,,she is not trustworthy or honest//,his leadership and he is not a politician//,,,"they become too liberal and handout to everyone, and they are not taking care of the americans at home.//","they are trying to get some conservative leaders appointed to the surperme court, bring direction back to leardership and get the economy going//",
34,300072,69,0,3,4,3,0,3,7,7,2.5,7,,"no intergrity, [REDACTED FOOD PRODUCTION COMPANY] got a tax breakk, pay for play//sold 20 percet of our land Uranian to stock pile// destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital//","the wall, controll immigration, 62 percent of immigrants receive goverment aid//honest and successful//",,"take care of their own, have a job for life//judges are soft on crime, give convicted felones soft punishments//","don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing//","strong defense//legal citizenship, schoolchoice//",push over for the president and and give democratic party what ever they want//
35,300073,41,1,3,5,0,0,7,7,6.5,4,5.5,,It's simply what I've been told about her deceitfulness//,,,,They seem to be more greedy//,"I'm more conservative, so the fact that they're more conservative//",
36,300082,67,0,3,1,2,0,3,4,3.5,3,4.5,good experience//not particualy,question of trustworthness,,con man//,more liberal on social programs//,all politicans,,split in the republican party and concerned about their physical policies with tea party
37,300085,59,1,1,2,,0,,,,,,,"Releasing the classified information, I don't trust her//I had seen her speaking about I don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when I saw it it looked fine to me so I think she is not truthful//by telling the truth is really important for all the citizens of the United States that we are voting for president//","I believe his immagration, it makes sense//the you know needing to check people who are coming into this country. They need to be checked out relly well//and also the gun control// they need to really check that out, you know, investigate it//They really need to thouroughly check and find out about how they feel about the United states of America// wondering why people go back and forth with all the terrorism now//He made some good points//","He was for building a wall but then I heard he was bringing in workers from other countries, at a lower wage instead of hiring Americans// lower wage workers at his resorts//to me if you don't want illegal immegrants to come here, then why are you hiring them. He wants cheap labor. He doesn't want to pay a fair wage//",I have always thought that their ideas are better than Republican//it just seems like the Democrats are more for the people that the Republicans do. I mean the citizens of the Unites States//,,,
38,300092,54,0,2,6,3,0,3,4.5,5,2,3,,"seems that everyone who snitches on her dies, we have had one clinton already dont need another,",he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt,he needs to have someone write his speeche,,"healthcare, foreign policies,",they are wanting to get everything back on track have a balanced budget,
39,300093,48,0,1,2,3,0,2.5,5,5,4.5,4,I would love to see a woman office. I'd like to see what she can do. Opportunities for other people.//,,He seems sincere about cleaning up our country. All this immigration. I just want to see my country come back to what it was. 80% of the immigrants ownung the stores. it's not working for me.//,He needs to change is racism. He's kinda of racist. it's okay. Everybody is.//,,,I like Bill Clinton because he speaks his mind.//,
40,300094,26,1,2,1,2,1,5,5,5.5,5,6,"She seems to care a little more than Donald Trumpp, she has more experience//",She don't sound believeable//,,"He's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be//","Their Libial and diverse, they favor the middle class//",They sometime can be too libral,,No diversity and they only favor the 1%//
41,300098,,,1,4,2,0,,,,,,,crook from way back she bill in [REDACTED TIME DETAILS] bank stuff//,bussimness man built mil tary up take care of vet medical ins/,they ecxplains himmself pas not much different then clitons,,croupt more liberial,conservetive,not as strong as they use to be younger blood//
42,300099,25,1,2,6,2,0,4,5.5,6,1.5,5,,i jus don like her/ i think she is a liar//,"he is no a felon, //",,,,,
43,300100,46,1,3,0,2,0,6.5,7,7,1,7,she has knowledge\\she has knowledge about the county and about politics,,,he's uneducated\\hes not fully aware of how to run this country or his political views,we stick together,,,"dislike republican party, i think everybody should be equal across the board,treated as whole"
44,300103,59,0,2,6,3,.5,6.5,5.5,7,1,6.5,,she is a crook/she is a democrat/,leader not part odf political process he will make america great again,,,poor immigration open boarders/oboma care poor leadership/,nastional security closing our bosarders/strong military/immigration,
45,300106,39,1,2,4,2,.5,3,5,6,4,5.5,,"shie is a lying scheeming criminal, bad politics, unrealistic campaign promises, built her entire campaign is he is worse than me",succeed or fail he is a business tycoon he knows how to get things done he sys excctly what he means,sometimes he is not politically correct but he is not a politician so that is a for and against,,everything,they are not democrats,they drag religon into gov way too much
46,300107,52,1,3,1,3,.5,6,4.5,6.5,3,5,"life spent in public service, great deal of political experience, knowldge of foreign politics, emphasis on children and families, tireless,",think that she is secretive,,"elitist, racist, invokes hates, dont feel hei's educated in politics, untrustworthy, rude.",believed that they are sympathetic to those less fortunate//believed that we share our priviiges to citizens of other countries//more emphasis on families and childrens future,support a welfare system that enables people to depend on welfare system//they spend too much money on programs//they dont play nice with the repubs,"think they realized that we need to reform welfare programs, need to stop spending money where it put us in debt","unwillingness to compromise, they will take a stance just because the Democrat party is supporting it, unsympathetic to those less fortunate, they feel entitled to privileddges in America, they forgotten what this country is all about."
47,300109,29,1,3,3,1,0,3.5,5.5,6.5,4.5,5,"she is a woman, and mother she may do things from a mothers perspective, she helps the young and cares about the children//",,,"he offends the latin community,he has no respect for prople especially women, he doesnt care about people in general, its about business with, very disrespectful//",,,,
48,300111,46,0,2,4,3,.5,6,5,6,2.5,6,,She is a crook and a liar.//,I think he has got good business sense.//,His mouth.  His lack of control of his mouth his inability to communicate properly.//,Typically speaking they are more conservative and used to better with the budget.//,They are too focused on taking my rights.//,The Republican party is more concerned about people and their rights.  Constitutional rights.//,Their lack of representation and ability to stand on a platform. Their indecisiveness.// and the fact that their campaigns seem to only want to degrade the opponent.
49,300113,45,0,3,0,2,0,5.5,5.5,2.5,4,5.5,her husband//,snotty/book I read said she ripped the secret service guy a new one,,loose canon some of the stuff I've seen him say and do makes me not want to vote for him//he told him to get the guy and beat him down and he would pay for the lawyer//his hair,I like how the democatic party is more caring and patient with everyone,NATA might have been a mistake,,I feel like they are for the rich than the working class/ their economics/I just don't agree with them
50,300116,64,0,1,1,,0,,,,,,"UNDERSTANDING, WILING TO TALK ABOUT THINGS THAT THE LOWER CLASS NEEDS TRYING TO PICK BEST ONE THAT IS SUITABLE//",,,HIS ATTITUDE AND THE WAY HE TALKS ABOUT DIFFERENT RACES AND WILL SAY ANY THINGAND THE WAY HE TALKS ABOUT WOMEN//,THEY SEEM TO BE FAIR AND TRY TO WORK WITH THE OTHER PARTY,,,//
51,300119,43,1,2,2,,0,,,,,,,,asshole,alot about gun amry guns,,,,
52,300121,61,1,3,0,2,0,5,6,6,2.5,5,"The years of experience, her knowledge, she is the best option for me right now compared to what we have perfect by no means",The email situation I was wild about the Bengazi situation,That I want to vote for him because he wants to put a holt on letting imigrates in until they are fulley veted,He's not a nice person,That they take care of the lower class people,Pro-choice,They are for the business class & they are antiabortation,The fact that they don't take care of special needs people not the top of their priority list they are more for the business class &wealthy
53,300123,30,0,2,5,,0,,,,,,,she got americans killed//she is a liar//,he has a good business aspect//,he is alittle crude//,they fight for more equality for people//,neither  one is willing to work with each other. no compromises for either one//,,they won't listen to the other party//
54,300124,55,0,2,5,2,0,5.5,6,7,1.5,6,Her experience.,Dishonesty. Establishment. Her voting record when she was a senator.,His tax plan. His immigration plan. His foreign policy plan. and his non-establishment stance.,Temperament.,Perception of representing the working class.,Taxes. Gun rights. Health care.,Smaller government. Less intrusion on small business. Civil liberties/gun rights.,Establishment. Pettiness.
55,300131,35,1,3,0,2,0,4.5,6,6.5,2,5.5,"She seems to have have the most political experience, she seems to have a understanding of policies, security and international issues,//She seems to have abetter understanding and diversity of peoples needs compared to Donald Trump",,,"Reality star not a candidate for Presidential campaign,He doesnt cotrol hi s mouth, rascist, intolerant,//",They are more in line with my political views. They have a more progressive vision for our country. More inclusive.//,"RElated to recent news, at the Democratic convention when the head of the Democratic Party had to step down.//",,They have a very conservative view of where they want the country to go. Static. Not inclusive.//Seem to be more about protecting the few that are wealthy.//
56,300135,24,1,2,2,2,0,3,5,5.5,2.5,6.5,"I think he is much more supportive on women's rights, which is important to me.  I think she is very much more experienced which she has received throughout her lifetime.//","The e-mail scandal is confusing and creates more questions about her, like maybe she is not trustworthy.//","I think he supports law enforcement more and with [REDACTED DETAILS], that is important to me.//","Recent comments he has made on social media and his debates, he just seems immature and he does not know what he is doing.//","Women's rights, I agree that the government should not have a say so about my body.//","I don't like so much that the governmnet wants to interfer with econmy stimulus, I thnk that things will work itself out.//","Gun control, i agree with the Republican Party.  Welfare.//",Women's right.  I don't think the government should interfer with that situation at all.//
57,300136,85,1,1,4,0,0,4,4,4,4,4,,,,,,,,
58,300137,61,0,3,0,2,0,4,4,5.5,3,5,Pienso que ella esta con nosotros ayudadndo a los hispanos//Yo creo que ella va a yudar a los hispanos y la clase media//,,,"El racismo, el narcisismo, el va a ayudar a los ricos y no a la clase media//es una persona arrogante//",siempre le han dado la mano y tratado de ayudar a los hispanos en este pais//,,,Siempre ha sido un partido racista//ha sido un partido para los  blancos y los poderosos//
59,300140,52,1,3,0,1,.5,3,7,7,1,7,"Her experience and representing our country and making difficult decisions.  Her ability to reach across all lines, race, economic, social.  Her work ethic. And her incredible story of becoming who she is now from where she came.//",,,"Everything about him. I don't trust him. I don't think he has any clue about American public people need and has no idea what it takes to be president and no clue on issues of national concerns. //I think he's a poor representation of what America stands for. What we are trying to be as a nation for ourselves and in the world, in the global, the world.//","I feel like they're very concerned about the working class, middle class, sincerely concerned.","I think like both parties, they put forth really good promises, but they also have their issues in being organized and following through.//",,They seem so fractured and disorganized that I can't respect their message or messages.//
60,300142,56,0,1,4,1,0,3.5,5,4.5,4,4.5,,dishonesty//,business man might be able to pull this country back together again//,"dont like his big mouth, leave things insaid//his offensiveness//",,fighting t with the Republican party//,,keep fighting with the democratic party//
61,300143,68,0,2,0,2,0,4,5,4,3,4,She put in Supreme court justices that wil be more in line to your thinking.//,,,He is not going to put in Supreme Court justices that you would be inline with his thinking.//,,,,
62,300144,76,1,2,0,2,0,2,6.5,6,2,4,she knows more about the government and how it is run because she has been involved a long time becaus her husband used to be president,only about her lying and comparing the two she is better to me,,"think he is prejuidise and teaching people how to hate, he is racist",i think they are know more about what is happening in the world than the other one,lying about texts and emails,,
63,300146,31,0,3,4,0,0,4.5,5,5.5,1,5.5,I think she is about education I think thatis always a positive//no,she will enforce stricter gun laws would make me vote against her//,"tax policy for those who make under 20,000 is pretty awesome//dont know too much about the candidates",,,,,
64,300148,19,1,3,5,1,0,5,7,7,3.5,4.5,,Being for abortion and the reasons you wouldn't vote for a democrat,It's really hard this year. I guess if anything it's because he's a republican and voting for your party/,"Just how he is so like ignorant. the things he says, he just shoots right to the point, I guess some people like that but he scares me. he could make someone important mad and he could make a mess for the country/","I guess just in general how they are more liberal about things. I'm not so right minded, can't think of a specific thing to pinpoint right now. I'm defnitely not so conservative/","their views on like that everyone should get money no matter what also, typically it seems democratic party if more pro abortion and I'm definintely against that.","typically I mean I guess, their views on abortion and upon that you work for what you get. I'm not totally against helping people but maybe a little more on the republican view on that//",
65,300150,47,1,1,0,,0,,,,,,,,hes a bad person and just do not see him as being presidential,not the president type,,,,
66,300151,68,1,2,2,,0,,,,,,"i have to admit the first thing is we need a woman in the presidency\\ i think that she has been very residelent as a washington dc inner circle person,  i think she has handled the mud slinging like a ladyo and still held her ground\\","oridinarrly i would say age, but she is [REDACTED DETAILS] and I would not want to be presidenet, but i feel as though she is prepared for this i almost feel like she is in the catagory that someone has to do lthis, people know her name and she has done a  lot for foreign policy, our house has not been bombed by a nuclear explosion yet\\",,"his name; his notarity, his treatment of women, his inability to carry on a conversation without condemning the other person for an opinion and his terrible just the way he how low he goes in his descrioption of anyone he does not like in slang, he sounds like he is not very well brought up,he has gold chairs and gold everything or colored everything and he displays this as if it is a good thing instead of - that is more like a king, he wants to be king, and that is what his politics seem like to me, the heck with dictator he wants to be king\\","i fel lthe democarats ar more compassionate, a line in the sign, they go too far in their compassion,but it seems like the programs that they begn have good intentions,-almost always and do help a lot of people\\","i think there are fanatics in the demo party, that go too far in their hate for government, i feel like they , i realize that they do waste a lot of my tax dollars\\","i think the rep party has too many old people in it, but the young replicians seems to want to cooperate, when the older repulbicans are out of office, the party will improve, if they are in office 20 years or more\\","i don;t like their selfishness, their lack of compassion, for those who are not like them, i feel they are stingy andnot tolerant\\"
67,300152,57,0,3,0,3,.5,4,7,6.5,4.5,5,her experience her passion and her dedication for the last 30 years,,,his racist views//his lack of professionalism//his masaginist views/,i like their inclusiveness//i like their support of the labor unions and support of minimum wage,they also could work across the isl;e,,there unwillingness to work across the isle//there unwillingness to confirm a supreme court appointee//i don't like their stance on the gay community//
68,300153,27,1,1,4,0,0,6,4.5,7,2,4,,just don't like her//,straight forward//blunt//,blunt about war and how he wants that//,,,,
69,300154,32,1,1,4,2,0,4,5.5,7,5.5,5,amkoing America feel like a team and not seperating us//,"//abortions issues, that fact that she is for ab ortrion",,//the feeling that he wouldn't mind seperating us b y race and social class,//seems like they are trying to bring America to a more upper class but heartlessly,"makes me feel like they get rid  welfare, and SNAP that single parents need to survive",//makes me feel like no matter what class wwe are a whole as a country,
70,300155,45,0,2,0,3,0,4.5,4.5,4.5,2.5,5,She is not Donald Trump//She has got a lot of experience.,She is a little hawkish.//,,He ran an emotional campaign rather than a planned campaign. He divides people rater that brings them togather. His business record is atrocious. He is a con man.,There position on global warming and renewable energy.//Their financial policies.,Gun Control//,Their stance on guns//,"Their prolife, climate change issues.//Economic policy"
71,300161,50,1,1,1,1,0,3.5,5,5.5,3,5,"HER EXPERIENCE//WELL, ONE IS THE EXPERIENCE AS A FIRST LADY//THE OTHER ONE IS THAT SHE HAS THE SUPPORT OF HER HUSBAND THAT HAS ALREADY BEEN PRESIDENT //",,,"RACISM, PROMOTES RACISM//HE HAS A LOT OF NEGATIVES THINGS// HE SPEAKS AGAINST LATINOS, I'M LATINA//",THEY FOCUS MORE IN HELPING THE MINORITY //LP,THERE IS NOT MUCH SUPPORT FOR THE MINORITY IS MORE FOR THE PEOPLE WITH HIGH INCOME.//,,
72,300165,68,1,3,0,2,0,3,6.5,7,3,5,She is the most qualified.  She has a platform.,,,He doesn't know what he is talking about.  He has no political experience and he has no platform & he talks off the top of his head.,I like the income seems to better under the Democratic party. I think their views are more liberal.,,,The economy always seems to be worse under the Republicans--people don't seem to have jobs.  It seems we always owe a big debt under the Republicans.
73,300168,60,0,2,0,3,0,3.5,5.5,4.5,2.5,6,not one thing particular//I think she is better everything bettr communicator//even tempered good communicator and she knows politics//,,,he's existence//he's just a brat// he's a bully makes things up alot of fabrications//,I like they are more for the labor and people//I think they look at situations more realistically in ways that concern most Americans//,,,they like hold tthe country hostage to get their way//they're extremely mixed up and I don't believe there is a true republican party//
74,300169,36,1,3,2,2,.5,5.5,6.5,5,2,6,her experience//,"her changing her mind on things, not telling the whole truth//",,"Everything, I dont like what he represents or stands for, I dont think hes qualified//",,,,I dont like that they are so conservative//
75,300170,27,1,1,1,1,0,2.5,6,4.5,2.5,3,"she seems more capable, more experienced with politics//",,,"the way he is, his personality is not presidential//",they are more towards the lower and middle class//,,,they are helping themselves more//
76,300171,,0,1,5,2,0,4.5,5,6,3,6,AHAA ABOUT JOB SECURITY AND EQUALITY//,HER HEALTH//,,RACES INMIGRATION LAWS//,,RACES//,THAT THE AGENDAS ABOUT THE COUNTRY GROW//,
77,300172,46,1,2,4,3,0,6.5,7,5,6,6,,"everything, she lies//","he is a regular person, there are so many things that i do not like about hilary clinton and that has pushed me more towards him//",he can be a little crasp when not reading from a telepromter//,,dont like the entitlements that are given//,,
78,300175,35,0,2,2,2,1,3.5,4,5,2.5,7,"she is not donld trump , she is a woman, she is at lest to pretend to cre// no alternative// she sided with bernie on the college her abilitly to reconcile differences i rcan respect tht whether she does it or not",her prefernce to be lobbied to by large bank and corportarions her susceptiblity to lobbing that has little to do with my benefit// why is it her the biggest money the bank are trying extra hard toward her and her association with Saudi arabria she doesnt's acknowlege it,,"lack of experience, his grasp public personia// racism in differnce to be supported by racist community, his indifference in general disturb's me//he not a stakely figure he wouldn't honor the office and he would cost the economy billions of dollars if he followed through on some of the things he said.","liberal attitudes, liberal agendas//",their sneaky ways or candestin attitudes toward politics// and their inabilitly to have a strong push toward their values they are just coasting on the values// strong leadership to get things done,their passion//,"a lot, their ppolicies in gerneral the conservative social policies, their inabvility to provide some kind of common man, tax policy// their inability to support , their religious strangle hold, republican is the olnly one with religious hold, republican party is not associated with the party"
79,300176,44,1,1,4,0,0,4.5,5.5,6.5,3.5,5.5,,,,,,,,
80,300177,78,1,1,1,0,0,4.5,4.5,4,5.5,4,"she has a back up with her husband, h was a president at one time\\shes a first lady\\she has a lot of class about her\\good personality\\just a sharp lady and smart",,,hes very arrogan\\he dont talk smart,they have always been fair\\i was raised iwth a family of democrats\\they have always been fair\\they always look out for the poor,,,they lookout more for themselves\\
