V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
4821,407136,72,1,2,0,3,0,3.5,7,7,1,4.5,"She is stable, confident, and experienced.",,,"He is unstable, inexperienced, and self righteous.",They favor the interest of our country and its people,,,They only favor themselves  rich people
4822,407137,35,1,1,0,2,0,4,5.5,5.5,2,5,Experiencia,,,Su vulgarismo y ofensivo en contra de la mujer y mejicanos,Veo mas apoyo para los hispanos y clase media,,,Su imcompetencia oh malas intenciones sobre latinos imigrant
4823,407138,64,0,1,4,2,0,7,6.5,7,1,6.5,,Her lies and deceptive demeanor,He's NOT a career politician,,,They work for the party and not America,,They work for the party and not America
4824,407141,60,1,2,0,3,.5,4.5,6,6,2.5,7,rights for women and children,,,"His disgusting manner, his plan on illegal aliens, tax plan",they are concerned about all people and their welfare,,,they don't work with the President and Democrats to get thin
4825,407143,24,1,2,6,2,.5,3,4,4,4,4,,Lying to the American People,He speaks his mind openly even when everyone doesn't agree,Unpredictable,,Their corrupt internal system,Strong moral standards of patriotism,disbelief of global warming
4826,407145,58,1,3,0,3,0,4,5.5,7,3.5,5.5,"strong-minded, reliable, detemined",,,"he's nutts, narcicisstic, use peoplefo his gain, not reliabl",people oriented,,,"too old, conservative,closed minded"
4827,407148,35,1,3,1,2,0,4.5,6.5,7,2,5,she follows democratic beliefs,,,He is unstable,I agree with the majority of the beliefs,,,
4828,407154,68,0,1,4,2,0,3.5,5,6.5,2,5.5,,Poco confiable,Emprendedor,,,La politica exterior,Protegen los valores del pais,
4829,407155,32,1,3,0,2,.5,4.5,7,7,1,4.5,She is not Donald Trump,,,He has no policy or plan,,,,Policies are awful
4830,407157,34,0,3,0,3,.5,6.5,5,6,3,6.5,Experienced and sensible,,,"Not presidential, threat to security, racist and sexist",Care about all people of the united states,,,"They are xenophobic, homophobic, islamophobic sexist"
4831,407158,65,0,2,2,1,.5,5,4,5,3.5,6.5,,,,Everything - too much to list,Open mindedness in variety of critical issues,"A bit wishy-washy sometimes, probably b/c of PC","Pompous, entitled boys club mentality",
4832,407163,35,1,3,4,2,.5,5,7,7,4,5.5,,LOTS of things,,,,,,
4833,407164,41,0,1,6,3,0,6,3.5,6.5,3,6,,,,,,,,
4834,407169,60,1,2,6,,0,,,,,,,,r,,,tx,mi,
