100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,3728
108,2
109,7
110,2
111,2
112,3973
113,2
114,2
115,3875
116,2
117,2
118,2
119,28
120,6
121,3982
122,2
123,2
124,2
125,3951
126,4026
127,2
128,2
129,3674
130,2
131,2
132,2
133,2
134,6
135,3969
136,2
137,2
138,2
139,2
140,2
141,2
142,3
143,3936
144,2
145,3992
146,7
147,2
148,7
149,3947
150,2
151,2
152,4004
153,2
154,2
155,3793
156,2
157,4114
158,2
159,2
160,7
161,2
162,2
163,2
164,2
165,3701
166,2
167,3604
168,2
169,3894
170,2
171,3960
172,2
173,2
174,2
175,3968
176,2
177,2
178,3
179,3959
180,2
181,2
182,3965
183,2
184,2
185,2
186,3764
187,2
188,36
189,2
190,2
191,2
192,4049
193,2
194,3874
195,7
196,2
197,2
198,2
199,2
200,2
201,7
202,2
203,3989
204,3967
205,7
206,2
207,3923
208,2
209,2
210,2
211,11
212,9
213,3970
214,6
215,2
216,7
217,2
218,7
219,3945
220,6
221,11
222,4
223,5
224,2
225,3977
226,3770
227,19
228,2
229,3
230,7
231,2
232,2
233,3822
234,2
235,7
236,2
237,2
238,2
239,7
240,2
241,6
242,4072
243,12
244,6
245,3981
246,2
247,3820
248,2
249,2
250,2
