5,2,2,2003
5,2,3,2194
5,2,4,2405
5,2,5,2628
5,2,6,2716
5,2,7,2832
5,2,8,2958
5,2,9,3032
5,2,10,3153
5,2,15,446
5,2,20,822
5,2,25,462
5,3,2,1952
5,3,3,2169
5,3,4,2386
5,3,5,2584
5,3,6,2691
5,3,7,14
5,3,8,2926
5,3,9,3044
5,3,10,3121
5,3,15,446
5,3,20,822
5,3,25,462
5,4,2,1869
5,4,3,2154
5,4,4,2384
5,4,5,2543
5,4,6,7
5,4,7,14
5,4,8,2925
5,4,9,3049
5,4,10,3130
5,4,15,446
5,4,20,822
5,4,25,462
5,5,2,1868
5,5,3,2176
5,5,4,2400
5,5,5,2560
5,5,6,7
5,5,7,14
5,5,8,2933
5,5,9,2825
5,5,10,3115
5,5,15,446
5,5,20,2961
5,5,25,462
5,6,2,1835
5,6,3,2210
5,6,4,2413
5,6,5,2543
5,6,6,7
5,6,7,14
5,6,8,2953
5,6,9,2736
5,6,10,3115
5,6,15,446
5,6,20,2916
5,6,25,462
5,7,2,1940
5,7,3,2292
5,7,4,3
5,7,5,4
5,7,6,7
5,7,7,14
5,7,8,2970
5,7,9,2734
5,7,10,2826
5,7,15,446
5,7,20,2916
5,7,25,462
5,8,2,1956
5,8,3,9
5,8,4,9
5,8,5,10
5,8,6,13
5,8,7,14
5,8,8,2978
5,8,9,2757
5,8,10,2832
5,8,15,446
5,8,20,2916
5,8,25,462
5,9,2,1981
5,9,3,2312
5,9,4,2504
5,9,5,2602
5,9,6,2763
5,9,7,2536
5,9,8,2645
5,9,9,2757
5,9,10,2831
5,9,15,2881
5,9,20,2916
5,9,25,462
5,10,2,2095
5,10,3,2404
5,10,4,2522
5,10,5,2626
5,10,6,2620
5,10,7,2565
5,10,8,2645
5,10,9,2688
5,10,10,2849
5,10,15,2889
5,10,20,2869
5,10,25,462
5,15,2,2214
5,15,3,2350
5,15,4,2218
5,15,5,2331
5,15,6,2245
5,15,7,2443
5,15,8,2515
5,15,9,2609
5,15,10,2636
5,15,15,2857
5,15,20,2879
5,15,25,462
5,20,2,2318
5,20,3,2224
5,20,4,2185
5,20,5,2395
5,20,6,2296
5,20,7,2490
5,20,8,2472
5,20,9,2567
5,20,10,2508
5,20,15,2824
5,20,20,2926
5,20,25,462
5,25,2,2360
5,25,3,2303
5,25,4,2284
5,25,5,2446
5,25,6,2364
5,25,7,2469
5,25,8,2542
5,25,9,2582
5,25,10,2569
5,25,15,2906
5,25,20,2947
5,25,25,462
10,2,2,2105
10,2,3,2379
10,2,4,2508
10,2,5,2608
10,2,6,2765
10,2,7,2861
10,2,8,2831
